trailing_12m,next_month_ret,quintile,date,ticker
0.08062189450178314,0.01604836743168092,3,2023-01-01,VUKE.L
-0.07166552952920535,-0.011849765761557274,1,2023-01-01,XUKS.L
-0.19712355216021538,-0.007214028492810609,1,2023-01-01,UKRE.L
0.05245331410262577,-0.027662407863655702,2,2023-02-01,ISF.L
-0.031092036351258345,-0.04892379054546625,2,2023-02-01,VMID.L
0.097843542330047,-0.025187021462180992,3,2023-02-01,VUKG.L
0.09255856683509411,-0.02081143577885225,3,2023-02-01,CUKX.L
0.01454406707646605,-0.023510204417371616,2,2023-02-01,XUKX.L
-0.03822117024620264,-0.05459437353224117,1,2023-02-01,IUKD.L
0.09528534674607636,-0.03448793227072966,3,2023-02-01,VUKE.L
-0.07518557414255633,0.027334450813283562,1,2023-02-01,XUKS.L
-0.18923542063716803,-0.03896406502354699,1,2023-02-01,UKRE.L
0.012549093038952464,0.03278476338151726,2,2023-03-01,ISF.L
-0.08214650843956806,0.03763911523364394,1,2023-03-01,VMID.L
0.0506192148054847,0.033239614784252414,3,2023-03-01,VUKG.L
0.05289330922242308,0.03277515385716323,3,2023-03-01,CUKX.L
-0.027994433848812506,0.03280751415253724,2,2023-03-01,XUKX.L
-0.08814249792154805,0.03338843468416797,1,2023-03-01,IUKD.L
0.04618476313728892,0.04354541802498835,3,2023-03-01,VUKE.L
-0.03037616573036417,-0.02677877592108291,2,2023-03-01,XUKS.L
-0.24857258986804553,0.013713332691164926,1,2023-03-01,UKRE.L
0.03866231189730551,-0.05043990568544743,2,2023-04-01,ISF.L
-0.03381690558595174,-0.033898297934334964,2,2023-04-01,VMID.L
0.07963324503540603,-0.050941804087587084,3,2023-04-01,VUKG.L
0.08007783265978152,-0.048295454545454586,3,2023-04-01,CUKX.L
0.03900991607655979,-0.056022690805697106,2,2023-04-01,XUKX.L
-0.04790473620915303,-0.06933957394087487,1,2023-04-01,IUKD.L
0.07727326349822872,-0.05082047359494146,3,2023-04-01,VUKE.L
-0.05303156731692338,0.05891165474869009,1,2023-04-01,XUKS.L
-0.2254309182950408,-0.03267871129779221,1,2023-04-01,UKRE.L
-0.023691261350601955,0.0,2,2023-05-01,ISF.L
-0.05512830836726368,-0.02373586058597088,1,2023-05-01,VMID.L
0.014751791270214643,0.016074905425269792,3,2023-05-01,VUKG.L
0.01725670271070956,0.009537677466326944,3,2023-05-01,CUKX.L
-0.027073826863882267,0.015065027205958925,2,2023-05-01,XUKX.L
-0.13339688927111726,-0.03570381685282853,1,2023-05-01,IUKD.L
0.012667308078043726,0.004283439519231047,2,2023-05-01,VUKE.L
0.014961919840976279,-0.007412261768698913,3,2023-05-01,XUKS.L
-0.21502109295786487,-0.0496231442110211,1,2023-05-01,UKRE.L
0.04790552786746183,0.023568798855133855,2,2023-06-01,ISF.L
0.01846547046993874,0.055333962924120295,2,2023-06-01,VMID.L
0.09062259351669932,0.021185900206624586,3,2023-06-01,VUKG.L
0.08752941176470586,0.026683975191114984,3,2023-06-01,CUKX.L
0.054961480096790805,0.022036023083884304,2,2023-06-01,XUKX.L
-0.07771914929737556,0.04093095758916743,1,2023-06-01,IUKD.L
0.09601161316651141,0.03304238652029645,3,2023-06-01,VUKE.L
-0.04395951213784921,-0.016949213303061872,1,2023-06-01,XUKS.L
-0.19855595328291453,0.029562535567160264,1,2023-06-01,UKRE.L
0.0341059114632003,-0.0244877275589801,2,2023-07-01,ISF.L
-0.018264488366233733,-0.022143287341411133,2,2023-07-01,VMID.L
0.07237801346529404,-0.023373317115046977,3,2023-07-01,VUKG.L
0.0799575178273404,-0.023602135431300963,3,2023-07-01,CUKX.L
0.03940321967519922,-0.03427477897430242,2,2023-07-01,XUKX.L
-0.06531963830422305,-0.03498976642578966,1,2023-07-01,IUKD.L
0.07235614055739603,-0.02550342645430692,3,2023-07-01,VUKE.L
-0.023910749041631596,0.03269038035697336,1,2023-07-01,XUKS.L
-0.2254514357104831,-0.01825664869564425,1,2023-07-01,UKRE.L
0.019725418248249138,0.01255117282988083,2,2023-08-01,ISF.L
0.012489882626027793,-0.02454621135568935,2,2023-08-01,VMID.L
0.05924894092231181,0.024829238767447137,3,2023-08-01,VUKG.L
0.06726044226044237,0.022877697841726663,3,2023-08-01,CUKX.L
0.024282969637051233,0.02460185396407155,2,2023-08-01,XUKX.L
-0.07248425633360978,0.005636775347727774,1,2023-08-01,IUKD.L
0.05721157046464054,0.013927215331533516,3,2023-08-01,VUKE.L
-0.00558882800255156,-0.018431315297249173,1,2023-08-01,XUKS.L
-0.1851133820734715,-0.010763435037712932,1,2023-08-01,UKRE.L
0.09998229981933138,-0.03573065924747876,2,2023-09-01,ISF.L
0.10074969670893541,-0.05638443308894325,2,2023-09-01,VMID.L
0.14282416165385659,-0.03997578713826466,3,2023-09-01,VUKG.L
0.14957956015523943,-0.03812069208046143,3,2023-09-01,CUKX.L
0.10626999697023742,-0.03921304886266275,2,2023-09-01,XUKX.L
0.05171320124434975,-0.03710426151841062,1,2023-09-01,IUKD.L
0.14275742044407758,-0.026410090317956603,3,2023-09-01,VUKE.L
-0.07428486009395108,0.04968002796639559,1,2023-09-01,XUKS.L
-0.042126356883339544,-0.04403490645908159,1,2023-09-01,UKRE.L
0.031513878600666345,0.019983198028696192,2,2023-10-01,ISF.L
-0.017365784363475356,0.07330947403085686,1,2023-10-01,VMID.L
0.06662176963330646,0.021100641669567377,3,2023-10-01,VUKG.L
0.07431264728986653,0.023252412986253246,3,2023-10-01,CUKX.L
0.03160593477420992,0.008204103568004939,2,2023-10-01,XUKX.L
-0.03376059458056224,0.05869374885510825,1,2023-10-01,IUKD.L
0.06727638195673191,0.021173259097396535,3,2023-10-01,VUKE.L
-0.0014418846466859314,-0.014359076499780077,2,2023-10-01,XUKS.L
-0.11057790001516565,0.0809508135609398,1,2023-10-01,UKRE.L
-0.016994831354747775,0.03178519157571169,1,2023-11-01,ISF.L
-0.015463708601900716,0.07165551162044514,2,2023-11-01,VMID.L
0.01597267198899277,0.04174105188630772,2,2023-11-01,VUKG.L
0.025351699882766754,0.037301700728883835,3,2023-11-01,CUKX.L
-0.016958974990760156,0.03944142108256843,2,2023-11-01,XUKX.L
-0.05162966187731166,0.0391647906172643,1,2023-11-01,IUKD.L
0.019088073788591675,0.0319458661717229,3,2023-11-01,VUKE.L
0.05296077252962972,-0.03174086558952305,3,2023-11-01,XUKS.L
-0.056941125286315675,0.06789754025456896,1,2023-11-01,UKRE.L
0.036863474146059616,-0.013065633132360865,2,2023-12-01,ISF.L
0.08011407491708633,-0.008145519155903225,3,2023-12-01,VMID.L
0.07198868156141436,-0.012785046645495957,3,2023-12-01,VUKG.L
0.07717423567824278,-0.012124552218241935,3,2023-12-01,CUKX.L
0.03595402832536232,-0.013224402908072919,2,2023-12-01,XUKX.L
0.0018865110736527857,-0.015482863614798559,1,2023-12-01,IUKD.L
0.06920614379846857,-0.005967321047434027,2,2023-12-01,VUKE.L
